ID,ExpDens,CalDens,ErrDens,CalDens2,ErrDens2,AvgDens,MaxDens,MinDens,ubDens,lbDens,ErrDens,ExpCpt,CalCpt,ErrCpt,CalCpt2,ErrCpt2,AvgCpt,MaxCpt,MinCpt,ubCpt,lbCpt,ErrCpt
16,1479.4,1441.1322,2.586710829,1437.158,2.855346762,1439.1451,1479.8,1479,0.4,0.4,2.721028795,586,524.729,10.45580205,505.9,13.66894198,515.3145,586,586,0,0,12.06237201
17,1435.924783,1418.0972,1.241540171,1418.5332,1.211176463,1418.3152,1437.9,1430,1.975217,5.924783,1.226358317,563.12,534.17,5.141000142,510.105,9.414512005,522.1375,599,531,35.88,32.12,7.277756073
18,1400.425,1383.0922,1.237681418,1382.4382,1.284381527,1382.7652,1403.6,1391.7,3.175,8.725,1.261031473,595.6,564.854,5.162189389,587.843,1.30238415,576.3485,595.6,595.6,0,0,3.23228677
19,1407.05,1365.971,2.919512455,1370.395,2.605095768,1368.183,1403.6,1407,3.45,0.05,2.762304111,633,622.474,1.662875197,630.032,0.468878357,626.253,633,633,0,0,1.065876777
20,1060.3675,1036.842,2.218617602,1037.3326,2.172350624,1037.0873,1065,1059,4.6325,1.3675,2.195484113,373.3,379.579,1.682025181,384.888,3.104205733,382.2335,376.2,365,2.9,8.3,2.393115457
22,1028.625,1004.1023,2.384027221,1003.44806,2.447630575,1003.77518,1028.9,1028.5,0.275,0.125,2.415828898,534,433.576,18.80599251,448.08,16.08988764,440.828,534,534,0,0,17.44794007
24,1013.545714,1029.52616,1.576687246,1029.79386,1.603099473,1029.66001,1014.5,1013,0.954286,0.545714,1.589893359,502,418.29,16.6752988,410.342,18.25856574,414.316,502,502,0,0,17.46693227
25,1298.500588,1278.7046,1.524526687,1277.5136,1.616247863,1278.1091,1303.8,1292,5.299412,6.500588,1.570387275,428.871429,424.666,0.980580359,425.875,0.698677692,425.2705,457,417.2,28.128571,11.671429,0.839629026
26,1384.668182,1366.9314,1.280940967,1366.6592,1.300599106,1366.7953,1387.1,1383.6,2.431818,1.068182,1.290770037,363.15,360.324,0.77819083,348.991,3.898939832,354.6575,363.2,363,0.05,0.15,2.338565331
27,1314.33,1271.6056,3.250660032,1272.1376,3.210183135,1271.8716,1314.33,1314.33,0,0,3.230421584,470,418.333,10.99297872,423.572,9.878297872,420.9525,470,470,0,0,10.4356383
28,1252.508889,1272.6548,1.608444553,1270.4744,1.434361956,1271.5646,1252.98,1252,0.471111,0.508889,1.521403254,435,472.367,8.590114943,505.906,16.30022989,489.1365,435,435,0,0,12.44517241
29,1239.7825,1228.3982,0.918249774,1229.4306,0.834977103,1228.9144,1243.8,1234,4.0175,5.7825,0.876613438,346,338.214,2.250289017,341.84,1.202312139,340.027,346,346,0,0,1.726300578
30,1287.845,1265.4994,1.735115639,1265.2976,1.750785226,1265.3985,1361,1263,73.155,24.845,1.742950433,341,354.847,4.060703812,352.146,3.268621701,353.4965,341,341,0,0,3.664662757
31,1345.46,1307.363,2.831522305,1308.32,2.760394215,1307.8415,1346.12,1344.8,0.66,0.66,2.79595826,299,342.488,14.54448161,327.198,9.430769231,334.843,299,299,0,0,11.98762542
33,1046.855,1039.418,0.710413572,1040.42712,0.614018178,1039.92256,1047.5,1046.2,0.645,0.655,0.662215875,298.15,452.156,51.6538655,422.848,41.82391414,437.502,298.1,298.1,0.05,0.05,46.73888982
34,1116.53125,1109.6954,0.612239917,1109.1068,0.664956758,1109.4011,1118,1115.5,1.46875,1.03125,0.638598337,281.4,282.692,0.459132907,290.674,3.295664534,286.683,281.4,281.4,0,0,1.877398721
35,1061.7,1023.15636,3.630370161,1024.09974,3.541514552,1023.62805,1061.7,1061.7,0,0,3.585942357,522,544.492,4.308812261,540.688,3.580076628,542.59,522,522,0,0,3.944444444
36,1056.2025,1011.12606,4.267783877,1011.36012,4.245623353,1011.24309,1097,1047.4,40.7975,8.8025,4.256703615,382.1,387.907,1.519759225,381.657,0.115938236,384.782,383.2,381,1.1,1.1,0.701910495
37,1098.621429,1061.496,3.379274063,1061.384,3.389468657,1061.44,1144,1027,45.378571,71.621429,3.38437136,321.9,313.981,2.46008077,327.63,1.780055918,320.8055,321.9,321.9,0,0,0.340012426
38,1077.7475,1054.5935,2.148369632,1055.73464,2.042487688,1055.16407,1081.59,1074.4,3.8425,3.3475,2.09542866,323,309.607,4.146439628,315.211,2.411455108,312.409,323,323,0,0,3.278947368
39,1192.8,1190.4962,0.193142186,1189.354,0.288900067,1189.9251,1192.8,1192.8,0,0,0.241021127,338.4,324.501,4.107269504,322.983,4.555851064,323.742,338.4,338.4,0,0,4.331560284
40,1273.3,1301.076,2.181418362,1302.6896,2.308144192,1301.8828,1302.3,1200,29,73.3,2.244781277,278.8,296.381,6.305954089,331.375,18.85760402,313.878,317,241.8,38.2,37,12.58177905
43,1355.1,1322.938,2.373404177,1317.2132,2.795867464,1320.0756,1355.1,1355.1,0,0,2.58463582,709,650.741,8.217066291,707.241,0.24809591,678.991,709,709,0,0,4.2325811
44,1416.44,1373.5056,3.031148513,1374.0392,2.993476603,1373.7724,1425,1412,8.56,4.44,3.012312558,578,539.127,6.725432526,562.251,2.724740484,550.689,578,578,0,0,4.725086505
45,1408.9,1367.163,2.962382,1372.3996,2.590701966,1369.7813,1408.9,1408.9,0,0,2.776541983,658,672.029,2.132066869,601.455,8.593465046,636.742,658,658,0,0,3.230699088
46,1380,1383.6106,0.261637681,1386.286,0.455507246,1384.9483,1380.8,1379.2,0.8,0.8,0.358572464,608,603.712,0.705263158,601.485,1.071546053,602.5985,608,608,0,0,0.888404605
47,1220,1203.2348,1.374196721,1202.8544,1.405377049,1203.0446,1220,1220,0,0,1.389786885,412,397.075,3.622572816,401.105,2.644417476,399.09,412,412,0,0,3.133495146
48,1256.642857,1247.3478,0.739673723,1246.7916,0.783934508,1247.0697,1261.3,1250,4.657143,6.642857,0.761804115,283,353.42,24.88339223,359.352,26.9795053,356.386,283,283,0,0,25.93144876
49,1153.1,1175.6888,1.958962796,1174.9134,1.891717978,1175.3011,1186.2,1120,33.1,33.1,1.925340387,231.8,339.791,46.5880069,327.688,41.36669543,333.7395,231.8,231.8,0,0,43.97735116
50,1156.5,1122.2084,2.965118893,1124.0016,2.810064851,1123.105,1156.5,1156.5,0,0,2.887591872,305.8,355.774,16.34205363,363.103,18.73871812,359.4385,305.8,305.8,0,0,17.54038587
51,1178.325,1169.5788,0.742257017,1169.2598,0.769329345,1169.4193,1217,1068,38.675,110.325,0.755793181,407.9,403.661,1.0392253,415.375,1.832556999,409.518,407.9,407.9,0,0,0.396665849
53,1051.1,1041.5362,0.909884883,1041.58876,0.904884407,1041.56248,1051.1,1051.1,0,0,0.907384645,827,668.002,19.22587666,684.74,17.2019347,676.371,827,827,0,0,18.21390568
57,999.5,966.30206,3.321454727,968.7091,3.080630315,967.50558,999.5,999.5,0,0,3.201042521,753,697.185,7.412350598,699.171,7.148605578,698.178,753,753,0,0,7.280478088
60,1474.58,1457.7482,1.14146401,1458.791,1.070745568,1458.2696,1475.6,1473.97,1.02,0.61,1.106104789,511.95,498.436,2.639710909,500.592,2.218576033,499.514,534.9,489,22.95,22.95,2.429143471
61,1518.628,1502.7254,1.047168892,1502.1374,1.085888052,1502.4314,1525.2,1514.7,6.572,3.928,1.066528472,506.1,465.645,7.993479549,460.344,9.040901008,462.9945,525,462,18.9,44.1,8.517190279
62,1371.097,1353.486,1.284445958,1352.4026,1.363462979,1352.9443,1373.2,1357,2.103,14.097,1.323954469,629.52,630.078,0.088638963,599.61,4.751239039,614.844,667,583,37.48,46.52,2.331300038
63,1394.794,1416.5812,1.562037118,1414.1082,1.38473495,1415.3447,1397,1394,2.206,0.794,1.473386034,601.75,568.353,5.549979227,554.867,7.791109265,561.61,629,584,27.25,17.75,6.670544246
64,1320.201,1302.1486,1.367397843,1300.1534,1.518526346,1301.151,1325,1310,4.799,10.201,1.442962094,692.4,679.59,1.850086655,685.969,0.928798382,682.7795,733,654,40.6,38.4,1.389442519
65,1535.552,1495.5658,2.604027737,1495.5386,2.605799087,1495.5522,1538,1532,2.448,3.552,2.604913412,522,452.547,13.30517241,436.27,16.42337165,444.4085,522,522,0,0,14.86427203
67,1250.247,1189.957,4.822247124,1191.599,4.690913076,1190.778,1251.2,1249.24,0.953,1.007,4.7565801,755,732.076,3.036291391,774.433,2.573907285,753.2545,775,755,20,0,0.231192053
70,1237.45,1260.7654,1.884148854,1260.9224,1.896836236,1260.8439,1244.7,1230.2,7.25,7.25,1.890492545,820.2,804,1.975128018,743.459,9.356376494,773.7295,820.2,820.2,0,0,5.665752256
72,1492,1470.8704,1.416193029,1470.166,1.463404826,1470.5182,1493,1491,1,1,1.439798928,604.75,526.104,13.00471269,542.831,10.23877635,534.4675,607,599,2.25,5.75,11.62174452
73,1505.53,1456.2674,3.272110154,1456.2322,3.274448201,1456.2498,1505.71,1505.35,0.18,0.18,3.273279177,534,476.069,10.84850187,504.928,5.444194757,490.4985,534,534,0,0,8.146348315
74,1287.19,1225.959,4.756951188,1226.6262,4.705117349,1226.2926,1291.4,1279,4.21,8.19,4.731034268,713,698.319,2.059046283,693.068,2.795511921,695.6935,713,713,0,0,2.427279102
78,1219.73,1154.3438,5.360710977,1153.3646,5.440991039,1153.8542,1220.2,1219.26,0.47,0.47,5.400851008,412,444.386,7.860679612,470.02,14.08252427,457.203,412,412,0,0,10.97160194
79,1436.3,1426.0444,0.714029103,1427.207,0.63308501,1426.6257,1436.3,1436.3,0,0,0.673557056,565,506.07,10.4300885,505.531,10.52548673,505.8005,565,565,0,0,10.47778761
80,1237.399231,1217.9626,1.570764755,1217.2006,1.632345527,1217.5816,1242.3,1228,4.900769,9.399231,1.601555141,388,378.125,2.545103093,380.796,1.856701031,379.4605,394.4,378,6.4,10,2.200902062
,154.0800675,152.8186878,2.082575884,152.6143028,2.072968792,152.7138662,,,,,2.077772338,158.6642073,133.8701529,8.443058779,132.1943495,8.723054019,132.5484591,,,,,8.418591876
,,22.2908966,,22.26108397,,22.27560679,,,,,,,19.52696871,,19.28252767,,19.33417986,,,,,
